DATE--TIME -UWS- UWD -LWS- LWD --SGM-- --DELTA-- ---AMB-- --DEW--- -PRECIP
0601082300 999.9 999 001.0 143 +0027.7 +09999.99 +09999.9 +09999.9 +0000.00
0601082400 999.9 999 000.8 146 +0029.6 +09999.99 +09999.9 +09999.9 +0000.00
0601090100 999.9 999 000.9 145 +0025.2 +09999.99 +09999.9 +09999.9 +0000.00
0601090200 999.9 999 001.1 140 +0036.0 +09999.99 +09999.9 +09999.9 +0000.00
0601090300 999.9 999 001.6 127 +0033.3 +09999.99 +09999.9 +09999.9 +0000.00
0601090400 999.9 999 001.4 111 +0065.3 +09999.99 +09999.9 +09999.9 +0000.00
0601090500 999.9 999 001.7 093 +0071.4 +09999.99 +09999.9 +09999.9 +0000.00
0601090600 999.9 999 001.9 006 +0095.0 +09999.99 +09999.9 +09999.9 +0000.00
0601090700 999.9 999 001.3 031 +0090.8 +09999.99 +09999.9 +09999.9 +0000.00
0601090800 999.9 999 002.2 105 +0075.2 +09999.99 +09999.9 +09999.9 +0000.00
0601090900 999.9 999 001.4 024 +0081.8 +09999.99 +09999.9 +09999.9 +0000.00
0601091000 999.9 999 002.3 126 +0071.8 +09999.99 +09999.9 +09999.9 +0000.00
0601091100 999.9 999 002.4 117 +0083.7 +09999.99 +09999.9 +09999.9 +0000.00
0601091200 999.9 999 003.5 167 +0075.5 +09999.99 +09999.9 +09999.9 +0000.00
0601091300 999.9 999 005.0 168 +0049.9 +09999.99 +09999.9 +09999.9 +0000.00
0601091400 999.9 999 003.5 189 +0075.0 +09999.99 +09999.9 +09999.9 +0000.00
0601091500 999.9 999 004.5 289 +0039.2 +09999.99 +09999.9 +09999.9 +0000.00
0601091600 999.9 999 003.7 292 +0056.1 +09999.99 +09999.9 +09999.9 +0000.00
0601091700 999.9 999 002.1 200 +0093.7 +09999.99 +09999.9 +09999.9 +0000.00
0601091800 999.9 999 001.6 138 +0037.9 +09999.99 +09999.9 +09999.9 +0000.00
0601091900 999.9 999 001.3 029 +0084.8 +09999.99 +09999.9 +09999.9 +0000.00
0601092000 999.9 999 001.4 159 +0036.4 +09999.99 +09999.9 +09999.9 +0000.00
0601092100 999.9 999 001.2 153 +0039.1 +09999.99 +09999.9 +09999.9 +0000.00
0601092200 999.9 999 000.7 140 +0039.9 +09999.99 +09999.9 +09999.9 +0000.00
0601092300 999.9 999 000.7 147 +0040.4 +09999.99 +09999.9 +09999.9 +0000.00
0601092400 999.9 999 001.0 146 +0013.1 +09999.99 +09999.9 +09999.9 +0000.00
0601100100 999.9 999 000.6 158 +0036.4 +09999.99 +09999.9 +09999.9 +0000.00
0601100200 999.9 999 000.5 154 +0020.8 +09999.99 +09999.9 +09999.9 +0000.00
0601100300 999.9 999 000.7 142 +0017.1 +09999.99 +09999.9 +09999.9 +0000.00
0601100400 999.9 999 000.6 142 +0050.3 +09999.99 +09999.9 +09999.9 +0000.00
0601100500 999.9 999 001.0 160 +0020.4 +09999.99 +09999.9 +09999.9 +0000.00
0601100600 999.9 999 000.5 183 +0047.5 +09999.99 +09999.9 +09999.9 +0000.00
0601100700 999.9 999 000.8 140 +0062.0 +09999.99 +09999.9 +09999.9 +0000.00
0601100800 999.9 999 000.9 169 +0041.0 +09999.99 +09999.9 +09999.9 +0000.00
0601100900 999.9 999 000.4 195 +0071.8 +09999.99 +09999.9 +09999.9 +0000.00
0601101000 999.9 999 000.8 105 +0038.8 +09999.99 +09999.9 +09999.9 +0000.00
0601101100 999.9 999 001.4 117 +0025.5 +09999.99 +09999.9 +09999.9 +0000.00
0601101200 999.9 999 001.4 127 +0017.7 +09999.99 +09999.9 +09999.9 +0000.00
0601101300 999.9 999 001.7 107 +0019.5 +09999.99 +09999.9 +09999.9 +0000.00
0601101400 999.9 999 002.7 146 +0043.0 +09999.99 +09999.9 +09999.9 +0000.00
0601101500 999.9 999 004.3 160 +0040.8 +09999.99 +09999.9 +09999.9 +0000.00
0601101600 999.9 999 004.2 160 +0030.8 +09999.99 +09999.9 +09999.9 +0000.00
0601101700 999.9 999 003.7 156 +0030.1 +09999.99 +09999.9 +09999.9 +0000.00
0601101800 999.9 999 000.9 168 +0052.7 +09999.99 +09999.9 +09999.9 +0000.00
0601101900 999.9 999 000.5 139 +0062.0 +09999.99 +09999.9 +09999.9 +0000.00
0601102000 999.9 999 000.7 142 +0033.6 +09999.99 +09999.9 +09999.9 +0000.00
0601102100 999.9 999 000.3 145 +0056.5 +09999.99 +09999.9 +09999.9 +0000.00
0601102200 999.9 999 000.6 136 +0054.5 +09999.99 +09999.9 +09999.9 +0000.00
0601102300 999.9 999 000.2 276 +0093.2 +09999.99 +09999.9 +09999.9 +0000.00
0601102400 999.9 999 000.7 171 +0085.6 +09999.99 +09999.9 +09999.9 +0000.00
0601110100 999.9 999 000.4 098 +0093.1 +09999.99 +09999.9 +09999.9 +0000.00
0601110200 999.9 999 000.7 312 +0072.8 +09999.99 +09999.9 +09999.9 +0000.01
0601110300 999.9 999 000.4 322 +0088.0 +09999.99 +09999.9 +09999.9 +0000.00
0601110400 999.9 999 000.8 292 +0080.7 +09999.99 +09999.9 +09999.9 +0000.00
0601110500 999.9 999 000.8 159 +0059.2 +09999.99 +09999.9 +09999.9 +0000.00
0601110600 999.9 999 000.7 311 +0059.6 +09999.99 +09999.9 +09999.9 +0000.05
0601110700 999.9 999 001.9 314 +0064.2 +09999.99 +09999.9 +09999.9 +0000.59
0601110800 999.9 999 000.0 207 +0059.7 +09999.99 +09999.9 +09999.9 +0000.01
0601110900 999.9 999 000.2 142 +0065.0 +09999.99 +09999.9 +09999.9 +0000.03
0601111000 999.9 999 001.0 138 +0038.1 +09999.99 +09999.9 +09999.9 +0000.06
